game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (34-24),1,11,20,143,2,49,246,1,5.0,69,5.6,1,12,1,22,4,51,1,0,1,5,11,31,137,1,31,191,1,6.2,62,5.3,2,12,2,19,9,86,0,5
W (55-27),0,16,29,344,5,36,225,2,6.3,65,8.8,2,9,2,20,10,90,0,0,0,2,29,51,276,4,30,87,0,2.9,81,4.5,5,5,5,22,6,75,0,2
W (21-16),1,11,19,257,1,43,191,2,4.4,62,7.2,1,9,1,19,8,79,0,1,1,1,27,42,255,2,22,72,0,3.3,64,5.1,3,4,3,19,3,25,0,1
W (42-35),2,12,20,140,2,61,401,4,6.6,81,6.7,2,24,2,33,8,80,1,1,1,3,24,37,332,4,26,96,1,3.7,63,6.8,3,10,3,23,5,40,1,2
L (24-31),5,33,47,340,2,25,91,1,3.6,72,6.0,3,4,3,23,5,55,1,4,0,1,13,17,162,3,39,145,1,3.7,56,5.5,3,5,3,16,9,90,1,0
W (21-20),0,18,30,204,1,37,145,2,3.9,67,5.2,0,10,0,20,5,36,0,0,0,0,18,32,246,0,34,108,2,3.2,66,5.4,1,6,1,18,6,45,0,0
L (41-43),1,25,35,303,5,42,203,0,4.8,77,6.6,2,12,2,28,12,99,0,1,0,1,14,25,219,1,33,146,5,4.4,58,6.3,8,8,8,23,8,72,1,0
L (7-35),0,15,26,168,0,31,61,1,2.0,57,4.0,1,5,1,15,3,35,0,0,0,1,23,28,313,2,33,179,3,5.4,61,8.1,1,8,1,23,4,30,0,1
W (45-28),1,15,27,190,0,48,307,6,6.4,75,6.6,3,11,3,23,10,96,0,1,0,3,14,31,225,1,34,91,3,2.7,65,4.9,6,5,6,21,8,74,0,3
W (45-27),0,20,25,257,2,48,259,4,5.4,73,7.1,2,9,2,22,7,63,0,0,0,3,16,31,287,2,37,187,2,5.1,68,7.0,3,9,3,19,6,49,1,2
W (38-20),2,25,36,287,1,34,243,3,7.1,70,7.6,2,15,2,28,4,50,0,2,1,2,13,20,189,1,34,125,1,3.7,54,5.8,1,6,1,16,6,40,1,1
W (31-9),1,21,36,223,3,31,139,1,4.5,67,5.4,2,6,2,18,4,50,0,1,0,5,26,44,274,1,31,102,0,3.3,75,5.0,3,11,3,26,6,70,2,3
L (17-37),2,21,41,196,1,35,106,1,3.0,76,4.0,2,8,2,20,4,50,0,2,0,0,19,29,320,2,33,62,1,1.9,62,6.2,3,3,3,21,10,81,0,0
W (34-23),2,21,29,277,2,44,262,2,6.0,73,7.4,3,12,3,27,4,34,1,1,1,2,19,28,202,1,28,139,2,5.0,56,6.1,2,4,2,19,6,58,0,2
W (38-27),0,14,19,130,3,37,221,0,6.0,56,6.3,1,14,1,23,7,70,0,0,1,3,30,51,357,2,22,9,1,0.4,73,5.0,3,1,3,23,3,30,1,2
W (51-22),0,8,12,91,1,51,399,5,7.8,63,7.8,1,17,1,25,2,20,0,0,1,1,15,23,169,2,38,202,1,5.3,61,6.1,0,13,0,21,5,40,1,0
L (28-30),1,20,37,230,2,42,186,1,4.4,79,5.3,5,11,5,27,7,40,0,1,0,1,18,26,206,2,35,168,1,4.8,61,6.1,1,10,1,21,10,100,0,1
W (49-31),4,14,24,228,4,44,269,3,6.1,68,7.3,0,11,0,23,11,95,2,2,1,4,13,26,163,0,55,236,3,4.3,81,4.9,5,13,5,24,6,55,2,2
W (41-24),1,15,23,139,2,39,375,3,9.6,62,8.3,1,11,1,19,7,55,0,1,0,1,20,31,272,2,32,167,1,5.2,63,7.0,1,8,1,19,6,35,0,1
